bhk_count,area_sqft,log_area,floor_number,total_floors,floor_ratio,is_ground_floor,is_top_floor,furnishing_encoded,transaction_encoded,is_owner_listing,price_inr,log_price,price_per_sqft,price_cr,price_to_locality_median_ratio,locality_mean_price_sqft,locality_median_price_sqft,locality_listing_count,locality_price_rank,dist_nearest_metro_km,dist_nearest_hospital_km,dist_nearest_school_km,dist_nearest_mall_km,dist_nearest_it_hub_km,dist_nearest_airport_km,metro_count_2km,hospital_count_3km,school_count_2km,metro_accessibility_score,livability_index,score_healthcare,score_education,score_metro,score_commercial,score_employment,builder_reputation_score,builder_listing_count,builder_avg_price_sqft,builder_price_premium_pct,infrastructure_impact_score,impact_metro_extension,impact_highway,impact_it_sez,impact_urban_development,city,locality,property_type_clean,builder_tier,livability_band,appreciation_potential_band,area_bin,type_apartment,type_builder_floor,type_penthouse,type_studio,type_villa
2,1121.0,7.022868086082641,3.0,15.0,0.2,0,0,0,0,0,9719000.0,16.089593393376845,8669.94,0.972,1.017,8453.477181692593,8528.122020972354,35,0.162,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.52,47,10937.253284940389,28.25,38.13,80.27,8.24,29.19,5.45,Gurgaon,Ardee City,builder_floor,Tier 2,Poor,Medium,Standard,0,1,0,0,0
3,1564.0,7.355641102974253,1.0,10.0,0.1,0,0,0,0,0,13714000.0,16.43392783974463,8768.54,1.371,1.108,7933.282542532392,7915.270748323147,34,0.093,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.75,42,10981.949143260465,38.74,13.77,11.22,31.79,13.72,0.26,Gurgaon,Palam Vihar,builder_floor,Tier 2,Poor,Low,Large,0,1,0,0,0
3,1519.0,7.326465613840322,7.0,12.0,0.5833333333333334,0,0,0,0,0,12758000.0,16.361669162166226,8398.95,1.276,0.865,9575.35052908125,9705.902899056933,37,0.374,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.86,31,10995.311570656313,13.28,27.57,31.98,38.19,33.23,2.16,Gurgaon,Nirvana Country,builder_floor,Tier 1,Poor,Low,Large,0,1,0,0,0
2,1018.0,6.926577033222725,10.0,14.0,0.7142857142857143,0,0,2,0,0,9958000.0,16.11388690660603,9781.93,0.996,0.962,10059.458033808372,10171.232876712329,37,0.448,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.25,42,10981.949143260465,7.97,48.17,74.8,21.43,70.0,1.02,Gurgaon,Sector 15,apartment,Tier 2,Poor,Medium,Standard,1,0,0,0,0
3,1557.0,7.351158226430694,,,,0,1,0,1,0,16560000.0,16.62250076730786,10635.84,1.656,0.905,11919.75221255961,11750.0,31,0.718,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.25,42,10981.949143260465,-6.54,23.57,49.44,6.71,12.46,9.06,Gurgaon,Sector 48,apartment,Tier 2,Poor,Low,Large,1,0,0,0,0
4,2271.0,7.7284157798410416,1.0,10.0,0.1,0,0,2,0,0,21242000.0,16.871490958940168,9353.59,2.124,0.92,10059.458033808372,10171.232876712329,37,0.448,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.92,55,10810.06286830001,6.28,37.29,25.63,62.74,22.13,51.2,Gurgaon,Sector 15,apartment,Tier 2,Poor,Medium,XLarge,1,0,0,0,0
3,1751.0,7.468513271496337,,,,0,1,1,1,0,14659000.0,16.500565107489642,8371.79,1.466,0.982,8453.477181692593,8528.122020972354,35,0.162,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.42,55,10810.06286830001,26.76,13.83,35.6,1.85,2.43,1.98,Gurgaon,Ardee City,studio,Tier 2,Poor,Low,Large,0,0,0,1,0
1,593.0,6.386879319362645,2.0,8.0,0.25,0,0,1,0,0,11515000.0,16.259161178080166,19418.21,1.152,1.072,18218.23667565825,18114.83870967742,31,0.97,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.25,42,10981.949143260465,-39.38,28.63,41.14,20.91,40.02,0.2,Gurgaon,Golf Course Road,apartment,Tier 2,Poor,Low,Compact,1,0,0,0,0
3,1704.0,7.4413203897176174,,,,0,1,1,0,0,22170000.0,16.914250626698493,13010.56,2.217,1.126,11543.026856483424,11557.515845236969,30,0.657,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.29,43,11223.359681792177,-2.89,39.73,74.8,9.59,46.13,0.5,Gurgaon,Sector 56,apartment,Tier 2,Poor,Medium,Large,1,0,0,0,0
2,995.0,6.903747257584598,2.0,8.0,0.25,0,0,1,1,0,7909000.0,15.88351203593978,7948.74,0.791,1.094,7362.847680726007,7267.158671586716,29,0.03,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.52,47,10937.253284940389,50.5,54.09,74.8,51.23,70.0,0.8,Gurgaon,New Gurgaon Sector 82,apartment,Tier 2,Poor,Medium,Standard,1,0,0,0,0
2,1106.0,7.009408932708637,2.0,8.0,0.25,0,0,0,1,0,22112000.0,16.911631050773845,19992.77,2.211,1.104,18218.23667565825,18114.83870967742,31,0.97,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.17,35,11530.874778105072,-36.35,21.91,42.26,13.68,6.7,13.56,Gurgaon,Golf Course Road,builder_floor,Tier 1,Poor,Low,Standard,0,1,0,0,0
5,2578.0,7.8551570058813445,2.0,8.0,0.25,0,0,2,0,0,23835000.0,16.98666568857617,9245.54,2.384,0.995,9285.011128988448,9290.982232651693,25,0.312,inf,inf,inf,inf,inf,inf,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.67,35,11530.874778105072,24.11,8.6,5.96,23.01,7.42,0.28,Gurgaon,Sohna Road,builder_floor,Tier 1,Poor,Low,Luxury,0,1,0,0,0
